pdu_id,name,probation_region_id
1,East Kent,E
2,West Kent,E
3,Surrey,E
4,East Sussex,E
5,West Sussex,E
6,Essex North,D
7,Essex South,D
8,Suffolk,D
9,Norfolk,D
10,Hertfordshire,D
11,Northamptonshire,D
12,Bedfordshire,D
13,Cambridgeshire,D
14,Barnsley and Rotherham,B
15,Sheffield,B
16,Doncaster,B
17,Leeds,B
18,Wakefield,B
19,Kirklees,B
20,Bradford and Calderdale,B
21,York,B
22,North Yorkshire,B
23,Hull and East Riding,B
24,North and North East Lincolnshire,B
25,County Durham and Darlington,A
26,Gateshead and South Tyneside,A
27,Stockton and Hartlepool,A
28,Sunderland,A
29,"Redcar, Cleveland and Middlesbrough",A
30,Newcastle Upon Tyne,A
31,North Tyneside and Northumberland,A
32,Salford,J
33,Manchester North,J
34,Manchester South,J
35,Bolton,J
36,Wigan,J
37,Bury and Rochdale,J
38,Stockport and Trafford,J
39,Tameside,J
40,Oldham,J
41,West Cheshire,K
42,East Cheshire,K
43,Warrington and Halton,K
44,Knowsley and St. Helens,K
45,Sefton,K
46,Liverpool North,K
47,Liverpool South,K
48,Cumbria,K
49,Wirral,K
50,North West Lancashire,K
51,Blackburn,K
52,East Lancashire,K
53,Central Lancashire,K
54,Gloucestershire,G
55,Swindon and Wiltshire,G
56,Dorset,G
57,Bristol and South Gloucestershire,G
58,Plymouth,G
59,Cornwall and Isles of Scilly,G
60,Devon and Torbay,G
61,Somerset,G
62,Bath and North Somerset,G
63,Hampshire North and East,F
64,Hampshire South West,F
65,Hampshire South and Isle of Wight,F
66,Oxfordshire,F
67,Buckinghamshire and Milton Keynes,F
68,East Berkshire,F
69,West Berkshire,F
70,"Birmingham North, East and Solihull",I
71,Birmingham Central and South,I
72,Dudley and Sandwell,I
73,Walsall and Wolverhampton,I
74,Coventry,I
75,Warwickshire,I
76,Staffordshire and Stoke,I
77,Worcestershire,I
78,"Herefordshire, Shropshire and Telford",I
79,Nottingham City,C
80,Nottinghamshire,C
81,Derby City,C
82,Derbyshire,C
83,"Leicester, Leicestershire and Rutland",C
84,East and West Lincolnshire,C
85,Greenwich and Bexley,L
86,Lewisham and Bromley,L
87,Southwark,L
88,Lambeth,L
89,Croydon,L
90,"Kingston, Richmond and Hounslow",L
91,"Hammersmith, Fulham, Kensington, Chelsea and Westminster",L
92,Camden and Islington,L
93,Ealing and Hillingdon,L
94,"Wandsworth, Merton and Sutton",L
95,Brent,L
96,Harrow and Barnet,L
97,Hackney and City,L
98,Tower Hamlets,L
99,Enfield and Haringey,L
100,Newham,L
101,Redbridge and Waltham Forest,L
102,"Barking, Dagenham and Havering",L
103,North Wales,H
104,Gwent,H
105,Dyfed Powys,H
106,Cardiff and the Vale of Glamorgan,H
107,"Swansea, Neath Port Talbot",H
108,Cwm Taf Morgannwg,H
